el yields
H 4.372073222835468e-07
He 0.0024577462077418274
Li 1.58193884515321e-14
Be 7.32401837565e-18
B 4.622607537744054e-12
C 7.02791213741023e-07
N 1.83585043712072e-08
O 3.5410264146069e-06
F 1.7598799788531001e-06
Ne 1.4217025962055491e-05
Na 2.6750736094027004e-08
Mg 5.38782159244224e-07
Al 2.8020340025325003e-08
Si 1.1861103320868801e-06
P 1.3854873607805e-07
S 2.7264939258736602e-06
Cl 7.620907273173402e-07
Ar 1.4452285348019798e-06
K 1.3070928468900119e-06
Ca 0.0010125970106268163
Sc 3.9919669816576e-07
Ti 0.0015036651664965682
V 0.0005018216522328692
Cr 0.0016605525910068119
Mn 5.306872629915e-05
Fe 0.011948673067492569
Co 0.00028102300800382003
Ni 0.005819682636728021
Cu 7.965882452617602e-05
Zn 0.002224602609274887
Ga 6.781663085447801e-05
Ge 0.0009422996087954196
As 0.00011705636164423
Se 0.004835833344332404
Br 0.0020286430208767002
Kr 0.0010831651875977942
Rb 0.00031364050689354
Sr 8.855653076984218e-05
Y 3.6347370900482e-05
Zr 0.000322238157185934
Nb 2.2469467715620002e-05
Mo 0.00019922042268223923
Tc 0.0
Ru 0.00013516111608045424
Rh 4.2729059273101005e-05
Pd 0.0002586055100722007
Ag 0.00012604446396742
Cd 0.00012204376676076332
In 3.272748044457819e-06
Sn 4.837392378025684e-05
Sb 1.9221421738053e-05
Te 0.002035559774790689
I 0.0005040543892808
Xe 0.0011732682344319184
Cs 2.8260837107726003e-05
Ba 3.550449276828001e-05
La 2.300645965386931e-06
Ce 6.21854615059429e-06
Pr 2.6638434070295003e-06
Nd 2.68841062427508e-05
Pm 0.0
Sm 3.982439917382172e-05
Eu 1.6402662834157e-05
Gd 0.00010888493365055529
Tb 3.5700703886653e-05
Dy 0.0001045531403072127
Ho 1.7998621262328003e-05
Er 4.901201818661196e-05
Tm 1.3077253240251001e-05
Yb 4.3762325456175355e-05
Lu 8.259999920613693e-06
Hf 2.4626310173612026e-05
Ta 5.112916308403055e-06
W 2.998963153634219e-05
Re 2.6703451031242003e-05
Os 0.00034808833175093226
Ir 0.00041986245965161003
Pt 0.00018207746894958871
Au 3.7792148475957e-06
Hg 6.4362500840481296e-06
Tl 1.0825070085686401e-06
Pb 5.654982666124421e-06
Bi 2.1637994915559e-06
Po 0.0
