el yields
H 0.0
He 0.0
Li 0.0
Be 0.0
B 0.0
C 0.0
N 0.0
O 0.0
F 0.0
Ne 0.0
Na 0.0
Mg 0.0
Al 0.0
Si 0.0
P 0.0
S 0.0
Cl 0.0
Ar 0.0
K 0.0
Ca 0.0
Sc 0.0
Ti 0.0
V 0.0
Cr 0.0
Mn 0.0
Fe 0.0
Co 0.0
Ni 0.0
Cu 0.0
Zn 0.0391442318883
Ga 0.0408557205672
Ge 0.1868637055106
As 0.0204864337693
Se 0.22009915845349998
Br 0.0512789437737
Kr 0.1695030958062
Rb 0.01946211208076
Sr 0.0260066276385
Y 0.0071373935224
Zr 0.018768087706629
Nb 0.000663166147538
Mo 0.0036841293866200003
Tc 0.0
Ru 0.00804056809903
Rh 0.00221036334225
Pd 0.005496478750625
Ag 0.002986104872
Cd 0.005873634853487
In 0.000922318106098
Sn 0.01009721175693
Sb 0.001735203797501
Te 0.03523352311564
I 0.0077831304864
Xe 0.03104680464948
Cs 0.00296867568846
Ba 0.00623621901601
La 0.00157691252402
Ce 0.002305795265245
Pr 0.00112061078442
Nd 0.0038772790271819997
Pm 0.0
Sm 0.001991784237178
Eu 0.001040322250403
Gd 0.0032686862248320005
Tb 0.000690595682292
Dy 0.004281007491843
Ho 0.00100032084555
Er 0.002629520920204
Tm 0.000415157437472
Yb 0.0020986451329889997
Lu 0.000385727832476
Hf 0.000918346538045
Ta 0.000138633440235
W 0.0007349115243790001
Re 0.000631593610139
Os 0.008244003815116
Ir 0.008571729610570001
Pt 0.017811196957820002
Au 0.00271895263247
Hg 0.002363797302276
Tl 0.0007847132734157
Pb 0.00506011485409516
Bi 0.000756598000293
Po 0.0
