species yields
H 0.0
He 0.0
Li 0.0
Be 0.0
B 0.0
C 0.0483014
N 1.16132e-06
O 0.143000036225
F 5.67e-10
Ne 0.00451846
Na 6.32e-05
Mg 0.008572300000000001
Al 0.000986
Si 0.156598
P 0.000357
S 0.08700441799999999
Cl 0.0001737
Ar 0.0156500187
K 7.840999999999999e-05
Ca 0.011936323160000002
Sc 2.21e-07
Ti 0.00034291
V 7.49155e-05
Cr 0.008479
Mn 0.00887
Fe 0.74903
Co 0.00104
Ni 0.12572199999999997
Cu 3.004e-06
Zn 2.8233200000000003e-05
Ga 0.0
Ge 0.0
As 0.0
Se 0.0
Br 0.0
Kr 0.0
Rb 0.0
Sr 0.0
Y 0.0
Zr 0.0
Nb 0.0
Mo 0.0
Tc 0.0
Ru 0.0
Rh 0.0
Pd 0.0
Ag 0.0
Cd 0.0
In 0.0
Sn 0.0
Sb 0.0
Te 0.0
I 0.0
Xe 0.0
Cs 0.0
Ba 0.0
La 0.0
Ce 0.0
Pr 0.0
Nd 0.0
Pm 0.0
Sm 0.0
Eu 0.0
Gd 0.0
Tb 0.0
Dy 0.0
Ho 0.0
Er 0.0
Tm 0.0
Yb 0.0
Lu 0.0
Hf 0.0
Ta 0.0
W 0.0
Re 0.0
Os 0.0
Ir 0.0
Pt 0.0
Au 0.0
Hg 0.0
Tl 0.0
Pb 0.0
Bi 0.0
Po 0.0
